title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date
5 Bedroom Semi Detached Duplex,5 Bedroom Semi Detached Duplex/House FOR Sale,Ikate Lekki Phase 1 Lekki Lagos,400000000,5.0,5.0,,22 Oct 2025,11 Nov 2025
2 Bedroom Apartment,2 Bedroom Apartment/Flat Apartment FOR Sale,Ilasan/ikate Lekki Phase 1 Lekki Lagos,162000000,2.0,2.0,,18 Oct 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex With Bq,4 Bedroom Semi Detached Duplex With Bq/House FOR Sale,Ikate Lekki Phase 1 Lekki Lagos,280000000,4.0,4.0,,17 Oct 2025,11 Nov 2025
4 Bedroom Fully Detached Duplex With Bq,4 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Ajah Lekki Phase 2 Lekki Lagos,170000000,4.0,4.0,,17 Oct 2025,11 Nov 2025
4 Bedroom Fully Detached Duplex,4 Bedroom Fully Detached Duplex/House FOR Sale,Victory Park Estate Lekki Phase 1 Lekki Lagos,780000000,4.0,4.0,,18 Oct 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex With Bq,5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,"Osapa London, Lekki Phase 1 Lekki Lagos",330000000,5.0,5.0,,17 Oct 2025,11 Nov 2025
Exquisite 4 Bedroom Semi Detached Bungalow,Exquisite 4 Bedroom Semi Detached Bungalow/House FOR Sale,Orchid Lekki Phase 2 Lekki Lagos,115000000,4.0,4.0,,21 Oct 2025,11 Nov 2025
Exquisite 4 Bedroom Semi Detached Duplex With Pool,Exquisite 4 Bedroom Semi Detached Duplex With Pool/House FOR Sale,"Orchid, Lekki Phase 2 Lekki Lagos",200000000,4.0,4.0,,16 Oct 2025,11 Nov 2025
4 Bedroom Fully Detached Duplex,4 Bedroom Fully Detached Duplex/House FOR Sale,Ajah Lekki Phase 2 Lekki Lagos,180000000,4.0,4.0,,22 Oct 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex,5 Bedroom Fully Detached Duplex/House FOR SALE,Osapa London Lekki Lagos,1600000000,5.0,5.0,,21 Oct 2025,11 Nov 2025
Massive 3 Bedroom Terraced Duplex,Massive 3 Bedroom Terraced Duplex/House FOR Sale,"Abraham Adesanya, Lekki Phase 2 Lekki Lagos",120000000,3.0,3.0,,19 Oct 2025,11 Nov 2025
Exquisite 4 Bedroom Terrace Duplex,Exquisite 4 Bedroom Terrace Duplex/House FOR Sale,Ikota Lekki Phase 2 Lekki Lagos,145000000,4.0,4.0,,21 Oct 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex With Bq,4 Bedroom Semi Detached Duplex With Bq/House FOR Sale,Ajah Lekki Phase 2 Lekki Lagos,150000000,4.0,4.0,,17 Oct 2025,11 Nov 2025
4 Bedroom Fully Detached Duplex,4 Bedroom Fully Detached Duplex/House FOR Sale,Ajah Lekki Phase 2 Lekki Lagos,145000000,4.0,4.0,,18 Oct 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex With Bq,5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Chervon Tollgate Lekki Phase 2 Lekki Lagos,470000000,5.0,5.0,,17 Oct 2025,11 Nov 2025
Luxurious 5 Bedroom Detached Duplex With Bq,Luxurious 5 Bedroom Detached Duplex With Bq/House FOR Sale,Mega Mound Lekky County Lekki Phase 2 Lekki Lagos,600000000,5.0,5.0,,29 Oct 2025,11 Nov 2025
Luxurious 2 Bedroom Apartment,Luxurious 2 Bedroom Apartment/Flat Apartment FOR Sale,Magodo Gra Phase 2 Kosofe Ikosi Lagos,150000000,2.0,2.0,,19 Oct 2025,11 Nov 2025
2 Bedroom Apartment With Gym Pool Elevator,2 Bedroom Apartment With Gym Pool Elevator/Flat Apartment FOR Sale,Ikota Lekki Phase 2 Lekki Lagos,140000000,2.0,2.0,,18 Oct 2025,11 Nov 2025
2 Bedroom Apartment,2 Bedroom Apartment/Flat Apartment FOR Sale,Ologolo Lekki Phase 1 Lekki Lagos,120000000,2.0,2.0,,17 Oct 2025,11 Nov 2025
3 Bedroom Apartment,3 Bedroom Apartment/Flat / Apartment FOR SHORTLET,Magodo Gra Phase 2 Kosofe/ikosi Lagos,140000/day,3.0,3.0,,03 Oct 2025,11 Nov 2025
Luxurious 5 Bedroom Detached Duplex With Bq/pool,Luxurious 5 Bedroom Detached Duplex With Bq/pool/House FOR Sale,Orchid Lekki Phase 2 Lekki Lagos,750000000,5.0,5.0,,03 Nov 2025,11 Nov 2025
5 Bedroom Waterfront Mansion,5 Bedroom Waterfront Mansion/House FOR Sale,Osapa London Lekki Phase 1 Lekki Lagos,1550000000,5.0,5.0,,22 Oct 2025,11 Nov 2025
Exquisite 2 Bedroom Apartment,Exquisite 2 Bedroom Apartment/Flat Apartment FOR Sale,Victoria Island Lagos,450000000,3.0,3.0,,19 Oct 2025,11 Nov 2025
4 Bedroom Fully Detached Duplex With Bq,4 Bedroom Fully Detached Duplex With Bq/House FOR Sale,"Ikota, Lekki Phase 2 Lekki Lagos",280000000,4.0,4.0,,17 Oct 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex With Bq,5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Lekki Phase 1 Lekki Lagos,1500000000,5.0,5.0,,23 Oct 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex,5 Bedroom Fully Detached Duplex/House FOR Sale,Ikate Lekki Phase 1 Lekki Lagos,700000000,5.0,5.0,,01 Nov 2025,11 Nov 2025
Luxurious 3 Bedroom Apartment,Luxurious 3 Bedroom Apartment/Flat Apartment FOR Sale,Ikate Lekki Phase 1 Lekki Lagos,350000000,3.0,3.0,,19 Oct 2025,11 Nov 2025
4 Bedroom Terrace Duplex,4 Bedroom Terrace Duplex/House FOR Sale,Orchid Lekki Phase 2 Lekki Lagos,100000000,4.0,4.0,,18 Oct 2025,11 Nov 2025
3 Bedroom Apartment,3 Bedroom Apartment/Flat Apartment FOR Sale,Chervon Drive Lekki Phase 2 Lekki Lagos,120000000,3.0,3.0,,17 Oct 2025,11 Nov 2025
Luxurious 4 Bedroom Furnished Detached Duplex,Luxurious 4 Bedroom Furnished Detached Duplex/House FOR Sale,Osapa London Lekki Phase 1 Lekki Lagos,350000000,4.0,4.0,,27 Oct 2025,11 Nov 2025
4 Bedroom Terrace Duplex With Bq,4 Bedroom Terrace Duplex With Bq/House FOR Sale,"Abiola's Court, Osapa London, Lekki Phase 1 Lekki Lagos",160000000,4.0,4.0,,17 Oct 2025,11 Nov 2025
Beautiful Luxury 2 Bedroom Apartment With Gym,Beautiful Luxury 2 Bedroom Apartment With Gym/Flat / Apartment FOR SALE,Lekki Phase 1 Lekki Lagos,250000000,2.0,2.0,,12 Oct 2025,11 Nov 2025
3 Bedroom Terrace Duplex,3 Bedroom Terrace Duplex/House FOR Sale,Ajah Lekki Phase 2 Lekki Lagos,90000000,3.0,3.0,,17 Oct 2025,11 Nov 2025
Furnished 2 Bedroom Flat With Bq,Furnished 2 Bedroom Flat With Bq/Flat Apartment FOR Sale,Lekki Phase 1 Lekki Lagos,340000000,2.0,2.0,,17 Oct 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex With Bq,4 Bedroom Semi Detached Duplex With Bq/House FOR Sale,Ikate Lekki Phase 1 Lekki Lagos,280000000,4.0,4.0,,18 Oct 2025,11 Nov 2025
4 Bedroom Fully Detached Duplex With Bq,4 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Ajah Lekki Phase 2 Lekki Lagos,220000000,4.0,4.0,,17 Oct 2025,11 Nov 2025
2 Bedroom Apartment With Bq.,2 Bedroom Apartment With Bq./Flat Apartment FOR Sale,Ikate Lekki Phase 1 Lekki Lagos,150000000,2.0,2.0,,18 Oct 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex With Bq,4 Bedroom Semi Detached Duplex With Bq/House FOR Sale,"Ikota, Lekki Phase 2 Lekki Lagos",200000000,4.0,4.0,,17 Oct 2025,11 Nov 2025
Exquisite 2 Bedroom Apartment,Exquisite 2 Bedroom Apartment/Flat Apartment FOR Sale,Victoria Island Lagos,450000000,2.0,2.0,,06 Nov 2025,11 Nov 2025
Luxury 2 Bedroom Apartment,Luxury 2 Bedroom Apartment/Flat Apartment FOR Sale,Lekki Phase 1 Lekki Lagos,280000000,2.0,2.0,,17 Oct 2025,11 Nov 2025
2 Bedroom Apartment,2 Bedroom Apartment/Flat Apartment FOR Sale,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,200000000,2.0,2.0,,18 Oct 2025,11 Nov 2025
2 Bedroom Apartment,2 Bedroom Apartment/House FOR SALE,Life Camp Abuja,47500000,2.0,2.0,,03 Oct 2025,11 Nov 2025
3 Bedroom Terrace Duplex With Private Compound,3 Bedroom Terrace Duplex With Private Compound/House FOR Sale,Ajah Lekki Phase 2 Lekki Lagos,75000000,3.0,3.0,,17 Oct 2025,11 Nov 2025
Exquisitely 4 Bedroom Detached Duplex,Exquisitely 4 Bedroom Detached Duplex/House FOR Sale,Opebi Ikeja Lagos,490000000,4.0,4.0,,19 Oct 2025,11 Nov 2025
5 Bedroom Duplex,5 Bedroom Duplex/House FOR Sale,Lekki Phase 1 Lekki Lagos,1500000000,5.0,5.0,,04 Nov 2025,11 Nov 2025
6 Bedroom Penthouse,6 Bedroom Penthouse/Flat Apartment FOR Sale,Mekwen Ikoyi Lagos,$ 3000000,6.0,6.0,,03 Sep 2025,11 Nov 2025
7450sqm Of Land,7450sqm Of Land/Land FOR Sale,"Amuwo Odofin Industrial Estate, Amuwo Odofin Amuwo Odofin Lagos",1500000000,,,,15 Oct 2025,11 Nov 2025
6 Bedroom Detached Duplex,6 Bedroom Detached Duplex/House FOR Sale,Off Fola Osibo Lekki Phase 1 Lekki Lagos,1300000000,6.0,6.0,,12 Sep 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex With Bq,5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Toll Gate Chevron Lekki Lagos,480000000,5.0,5.0,,27 Aug 2025,11 Nov 2025
4 Bedroom Townhouse,4 Bedroom Townhouse/House FOR Sale,Mekwen Ikoyi Lagos,$ 750000,4.0,4.0,,03 Sep 2025,11 Nov 2025
Land,Land/Land FOR Sale,Osborne Phase 2 Osborne Foreshore Estate Ikoyi Lagos,900000/sqm,,,,01 Sep 2025,11 Nov 2025
Land Measuring 1050 Sqm,Land Measuring 1050 Sqm/Land FOR Sale,Lekki Lagos,400000000,,,,09 Oct 2025,11 Nov 2025
Corner Piece Land Measuring 4233 Sqm,Corner Piece Land Measuring 4233 Sqm/Land FOR Sale,Eko Atlantic City Victoria Island Lagos,$ 3000/sqm,,,,29 Oct 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex,5 Bedroom Fully Detached Duplex/House FOR SALE,Toll Gate Chevron Lekki Lagos,420000000,5.0,,,09 Apr 2025,11 Nov 2025
New 2 Bedroom Apartment,New 2 Bedroom Apartment/Flat Apartment FOR Sale,Ikate Lekki Lagos,145000000,2.0,2.0,,29 Sep 2025,11 Nov 2025
30 Prime Plots Of Land,30 Prime Plots Of Land/Land FOR Sale,Chevron Lekki Lagos,300000000,,,,17 Oct 2025,11 Nov 2025
Waterfront Land Measuring 2.275 Sqm,Waterfront Land Measuring 2.275 Sqm/Land FOR Sale,Banana Island Ikoyi Lagos,3800000/sqm,,,,09 Oct 2025,11 Nov 2025
Land Measuring 1700 Sqm,Land Measuring 1700 Sqm/Land FOR Sale,Victoria Island Lagos,2500000,,,,22 Oct 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex With Bq,5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Parkview Estate Ikoyi Lagos,1500000000,5.0,5.0,,09 Oct 2025,11 Nov 2025
1000sqm Land,1000sqm Land/Land FOR Sale,Lekki Phase 1 Lekki Lagos,2400000000,,,,15 Oct 2025,11 Nov 2025
Plot Measuring 1500 Sqm,Plot Measuring 1500 Sqm/Land FOR Sale,Banana Island Ikoyi Lagos,8500000000,,,,09 Oct 2025,11 Nov 2025
800sqm/900sqm/1000sqm Land,800sqm/900sqm/1000sqm Land/Land FOR Sale,Osborne Foreshore Estate Ikoyi Lagos,2500000/sqm,,,,29 Sep 2025,11 Nov 2025
"4,489sqm Land","4,489sqm Land/Land FOR Sale",Chevron Lekki Lagos,2100000000,,,,15 Oct 2025,11 Nov 2025
3 Bedroom Serviced Apartment,3 Bedroom Serviced Apartment/Flat / Apartment FOR SHORTLET,"Ellipse Apartment, 2 Oloto Road, Off Bourdillon Road Ikoyi Lagos",450000/day,3.0,3.0,,01 Nov 2025,11 Nov 2025
Luxury 5 Bedroom Detached Duplex With Bq,Luxury 5 Bedroom Detached Duplex With Bq/House FOR Sale,Banana Island Ikoyi Lagos,$ 5000000,5.0,5.0,,01 Oct 2025,11 Nov 2025
5 Bedroom Maisonette With Inverter,5 Bedroom Maisonette With Inverter/Flat Apartment FOR Sale,Lekki Phase 1 Lekki Lagos,500000000,5.0,5.0,,15 Oct 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex With 2 Bq,5 Bedroom Fully Detached Duplex With 2 Bq/House FOR Sale,Lekki Phase 1 Lekki Lagos,800000000,5.0,5.0,,29 Sep 2025,11 Nov 2025
4 Units Of 3 Bedroom Terrace Duplex,4 Units Of 3 Bedroom Terrace Duplex/Land FOR Sale,Lekki Phase 1 Lekki Lagos,1400000000,3.0,3.0,,29 Oct 2025,11 Nov 2025
Luxury 5 Bedroom Terraced Duplex With Bq,Luxury 5 Bedroom Terraced Duplex With Bq/House FOR Sale,Banana Island Ikoyi Lagos,$ 2000000,5.0,5.0,,08 Oct 2025,11 Nov 2025
Land Measuring 660sqm,Land Measuring 660sqm/Land FOR Sale,Lekki Lagos,300000000,,,,09 Oct 2025,11 Nov 2025
Newly Renovated 3 Bedroom Apartment,Newly Renovated 3 Bedroom Apartment/Flat Apartment FOR Sale,Ikoyi Lagos,680000000,3.0,3.0,,15 Oct 2025,11 Nov 2025
Waterfront Land Measuring 3100 Sqm,Waterfront Land Measuring 3100 Sqm/Land FOR Sale,Osborne Foreshore Estate Ikoyi Lagos,2400000/sqm,,,,10 Oct 2025,11 Nov 2025
Luxury 4 Bedroom Apartment,Luxury 4 Bedroom Apartment/Flat Apartment FOR Sale,Old Ikoyi Ikoyi Lagos,1500000000,4.0,4.0,,08 Oct 2025,11 Nov 2025
Luxury 5 Bedroom Semi Detached Duplex With 2 Bq,Luxury 5 Bedroom Semi Detached Duplex With 2 Bq/House FOR Sale,Ikoyi Lagos,1300000000,5.0,5.0,,29 Sep 2025,11 Nov 2025
Newly Built 3 Bedroom Apartment With Bq,Newly Built 3 Bedroom Apartment With Bq/Flat Apartment FOR Sale,Ikoyi Lagos,$ 500000,3.0,3.0,,09 Oct 2025,11 Nov 2025
Luxurious 4 Bedroom Semi Detached Duplex With Bq,Luxurious 4 Bedroom Semi Detached Duplex With Bq/House FOR SALE,Orchid Lekki Lagos,240000000,4.0,4.0,,12 Oct 2025,11 Nov 2025
Newly Built 2 Bedroom Apartment,Newly Built 2 Bedroom Apartment/Flat Apartment FOR Sale,Ikate Lekki Lagos,220000000,2.0,2.0,,29 Sep 2025,11 Nov 2025
"3,583sqm/3,719sqm/3,583sqm Land","3,583sqm/3,719sqm/3,583sqm Land/Land FOR Sale",Eko Atlantic City Victoria Island Lagos,1700000/sqm,,,,29 Sep 2025,11 Nov 2025
New 2 Bedroom Apartment With Kids Playground,New 2 Bedroom Apartment With Kids Playground/Flat Apartment FOR Sale,Ikate Lekki Lagos,150000000,2.0,2.0,,29 Sep 2025,11 Nov 2025
9 Units Of 2 Bedroom Apartment,9 Units Of 2 Bedroom Apartment/Flat Apartment FOR Sale,Lekki Phase 1 Lekki Lagos,305000000,2.0,2.0,,27 Oct 2025,11 Nov 2025
New Luxury 5 Bedroom Semi Detached House,New Luxury 5 Bedroom Semi Detached House/House FOR Sale,Ikoyi Lagos,1200000000,5.0,5.0,,01 Oct 2025,11 Nov 2025
3 Bedroom Maisonette With Bar,3 Bedroom Maisonette With Bar/Flat Apartment FOR Sale,Lekki Phase 1 Lekki Lagos,425000000,3.0,3.0,,15 Oct 2025,11 Nov 2025
5 Bedroom Bungalow,5 Bedroom Bungalow/Land FOR Sale,Victoria Island Lagos,800000000,,,,29 Sep 2025,11 Nov 2025
Waterfront Plot Measuring 3430 Sqm,Waterfront Plot Measuring 3430 Sqm/Land FOR Sale,Banana Island Ikoyi Lagos,3500000/sqm,,,,09 Oct 2025,11 Nov 2025
2 Plots Of Land Measuring 803.96 & 779.65 Sqm,2 Plots Of Land Measuring 803.96 & 779.65 Sqm/Land FOR Sale,Ibeju Lekki Lagos,80000/sqm,,,,03 Oct 2025,11 Nov 2025
3 Bedroom Apartment,3 Bedroom Apartment/Flat / Apartment FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,25000000/year,3.0,3.0,,05 Nov 2025,11 Nov 2025
10 Units Of Luxury 2 Bedroom Block Of Flats,10 Units Of Luxury 2 Bedroom Block Of Flats/Flat Apartment FOR Sale,Lekki Lagos,305000000,2.0,2.0,,14 Oct 2025,11 Nov 2025
Prime 8000sqm Land,Prime 8000sqm Land/Land FOR Sale,Oniru Victoria Island Lagos,8000000000,,,,30 Oct 2025,11 Nov 2025
Newly Built 4 Bedroom Maisonette With Bq,Newly Built 4 Bedroom Maisonette With Bq/Flat Apartment FOR Sale,Ikoyi Lagos,$ 1000000,4.0,4.0,,09 Oct 2025,11 Nov 2025
1100 Sqm Land,1100 Sqm Land/Land FOR Sale,Oniru Victoria Island Lagos,1700000000,,,,01 Oct 2025,11 Nov 2025
431sqm Land,431sqm Land/Land FOR Sale,Lekki Phase 1 Lekki Lagos,700000000,,,,01 Oct 2025,11 Nov 2025
Luxury 3 Bedroom Penthouse Apartment,Luxury 3 Bedroom Penthouse Apartment/Flat Apartment FOR Sale,Eko Atlantic City Victoria Island Lagos,$ 1800000,3.0,3.0,,08 Oct 2025,11 Nov 2025
900sqm Land,900sqm Land/Land FOR Sale,Lekki Phase 1 Lekki Lagos,950000000,,,,29 Sep 2025,11 Nov 2025
Land Measuring 1139 Sqm,Land Measuring 1139 Sqm/Land FOR Sale,Lekki Phase 1 Lekki Lagos,1300000000,,,,02 Oct 2025,11 Nov 2025
900sqm Land,900sqm Land/Land FOR Sale,"Phase 2 Estate, Osborne Foreshore Estate Ikoyi Lagos",1800000/sqm,,,,15 Oct 2025,11 Nov 2025
Furnished 3 Bedroom Apartment With Bq,Furnished 3 Bedroom Apartment With Bq/Flat Apartment FOR Sale,Ikoyi Lagos,750000000,3.0,3.0,,09 Oct 2025,11 Nov 2025
Plot Measuring 1246 Sqm,Plot Measuring 1246 Sqm/Land FOR Sale,Banana Island Ikoyi Lagos,7000000000,,,,09 Oct 2025,11 Nov 2025
Luxury 5 Bedroom Fully Detached Duplex,Luxury 5 Bedroom Fully Detached Duplex/House FOR SALE,Lekki Palmcity Ajah Lagos,285000000,5.0,,,23 Oct 2025,11 Nov 2025
3 Bedroom Apartment,3 Bedroom Apartment/Flat Apartment FOR Sale,Lekki Phase 1 Lekki Lagos,350000000,3.0,3.0,,10 Nov 2025,11 Nov 2025
Newly Built 6 Bedroom Fully Detached Duplex,Newly Built 6 Bedroom Fully Detached Duplex/House FOR Sale,Chevron Lekki Lagos,750000000,6.0,6.0,,23 Oct 2025,11 Nov 2025
2 Bedroom Apartment With Bq,2 Bedroom Apartment With Bq/Flat Apartment FOR Sale,Ilasan Lekki Lagos,180000000,2.0,2.0,,06 Nov 2025,11 Nov 2025
5 Bedroom Fully Detached Smart Duplex,5 Bedroom Fully Detached Smart Duplex/House FOR Sale,Lekki Phase 1 Lekki Lagos,1300000000,5.0,5.0,,22 Oct 2025,11 Nov 2025
Newly Built 4 Bedroom Semi Detached Duplex,Newly Built 4 Bedroom Semi Detached Duplex/House FOR Sale,Ikate Lekki Lagos,700000000,4.0,4.0,,21 Oct 2025,11 Nov 2025
Newly Built 5 Bedroom Fully Detached Duplex With Bq,Newly Built 5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Chevron Lekki Lagos,360000000,5.0,5.0,,23 Oct 2025,11 Nov 2025
Newly Built 5 Bedroom Duplex,Newly Built 5 Bedroom Duplex/House FOR Sale,Chevron Lekki Lagos,400000000,5.0,5.0,,22 Oct 2025,11 Nov 2025
2 Bedroom Apartment,2 Bedroom Apartment/Flat Apartment FOR Sale,Lekki Phase 1 Lekki Lagos,300000000,2.0,2.0,,11 Nov 2025,11 Nov 2025
4 Bedroom Apartment With Bq,4 Bedroom Apartment With Bq/Flat Apartment FOR Sale,Victoria Island Lagos,400000000,4.0,4.0,,27 Oct 2025,11 Nov 2025
Newly Built 4 Bedroom Semi Detached Duplex With Lounge,Newly Built 4 Bedroom Semi Detached Duplex With Lounge/House FOR SALE,Ajah Lagos,150000000,4.0,4.0,,10 Nov 2025,11 Nov 2025
Newly Built 6 Bedroom Fully Detached Duplex,Newly Built 6 Bedroom Fully Detached Duplex/House FOR Sale,Chevron Lekki Lagos,750000000,6.0,6.0,,23 Oct 2025,11 Nov 2025
Newly Built 5 Bedroom Fully Detached Duplex,Newly Built 5 Bedroom Fully Detached Duplex/House FOR Sale,Chevron Lekki Lagos,360000000,5.0,5.0,,23 Oct 2025,11 Nov 2025
4 Bedroom Terrace Duplex,4 Bedroom Terrace Duplex/House FOR Sale,Lekki Phase 1 Lekki Lagos,400000000,4.0,4.0,,21 Oct 2025,11 Nov 2025
4 Bedroom Terraced Duplex With Bq,4 Bedroom Terraced Duplex With Bq/House FOR Sale,Ikate Lekki Lagos,230000000,4.0,4.0,,22 Oct 2025,11 Nov 2025
Newly Built 5 Bedroom Fully Detached Duplex,Newly Built 5 Bedroom Fully Detached Duplex/House FOR Sale,Ikoyi Lagos,2300000000,5.0,5.0,,31 Oct 2025,11 Nov 2025
Newly Built 5 Bedroom Fully Detached Duplex,Newly Built 5 Bedroom Fully Detached Duplex/House FOR Sale,Chevron Lekki Lagos,520000000,5.0,5.0,,23 Oct 2025,11 Nov 2025
3 Bedroom Apartment Available,3 Bedroom Apartment Available/Flat Apartment FOR Sale,Lekki Phase 1 Lekki Lagos,400000000,3.0,3.0,,06 Nov 2025,11 Nov 2025
Bayfront Villas 500sqm Land,Bayfront Villas 500sqm Land/Land FOR Sale,Onishon Road Lakowe Ajah Lagos,84000000,3.0,3.0,,19 Sep 2025,11 Nov 2025
4 Bedroom Maisonette With Bq,4 Bedroom Maisonette With Bq/House FOR Sale,Alex Ibru Street Guzape Abuja,280000000,4.0,5.0,,03 Oct 2025,11 Nov 2025
3 Bedroom Maisonette With Bq,3 Bedroom Maisonette With Bq/House FOR Sale,"Behind Victoria Bay, Creeklane Estate Osapa London Lekki Lagos",147000000,3.0,3.0,,03 Oct 2025,11 Nov 2025
2 Bedroom Apartment With Bq,2 Bedroom Apartment With Bq/House FOR Sale,"Sugarland Estate By Swisstrade Avenue Opposite Mega Chicken, Vgc Lekki Lagos",74000000,2.0,3.0,,03 Oct 2025,11 Nov 2025
Luxury 4 Bedroom Terraced Duplex,Luxury 4 Bedroom Terraced Duplex/House FOR SALE,Ikoyi Lagos,900000000,4.0,4.0,,15 Oct 2025,11 Nov 2025
Olivia Heights 1 Bedroom Maisonette,Olivia Heights 1 Bedroom Maisonette/Flat Apartment FOR Sale,"Amore Street Off Freedom Way, Lekki Phase 1 Lekki Lagos",125000000,1.0,1.0,,15 Sep 2025,11 Nov 2025
2 Bedroom Apartment,2 Bedroom Apartment/House FOR Sale,"Behind Victoria Bay, Creeklane Estate Osapa London Lekki Lagos",90000000,2.0,2.0,,03 Oct 2025,11 Nov 2025
4 Bedroom Terrace Duplex,4 Bedroom Terrace Duplex/House FOR Sale,"2nd Avenue, Federal Housing Authority Guzape Abuja",300000000,4.0,4.0,,03 Oct 2025,11 Nov 2025
Bayfront Villas 500sqm Waterfront Land,Bayfront Villas 500sqm Waterfront Land/Land FOR Sale,Onishon Road Lakowe Ajah Lagos,128000000,3.0,3.0,,19 Sep 2025,11 Nov 2025
1 Bedroom Apartment,1 Bedroom Apartment/House FOR Sale,"Sugarland Estate By Swisstrade Avenue Opposite Mega Chicken, Vgc Lekki Lagos",50000000,1.0,1.0,,03 Oct 2025,11 Nov 2025
Bayfront Villas 300sqm Land,Bayfront Villas 300sqm Land/Land FOR Sale,Onishon Road Lakowe Ajah Lagos,48000000,3.0,3.0,,19 Sep 2025,11 Nov 2025
2 Bedroom Maisonette,2 Bedroom Maisonette/House FOR Sale,"Behind Victoria Bay, Creeklane Estate Osapa London Lekki Lagos",100000000,2.0,2.0,,03 Oct 2025,11 Nov 2025
3 Bedroom Maisonette With Bq,3 Bedroom Maisonette With Bq/House FOR Sale,Alex Ibru Street Guzape Abuja,200000000,3.0,4.0,,03 Oct 2025,11 Nov 2025
Olivia Gardens 3 Bedroom Maisonettes,Olivia Gardens 3 Bedroom Maisonettes/House FOR Sale,"Samuel Street, Ogudu Ogudu Lagos",147000000/year,3.0,4.0,,18 Sep 2025,11 Nov 2025
Block Of Flat,Block Of Flat/House FOR SALE,Ajah Lagos,350000000,,,,18 Oct 2025,11 Nov 2025
4 Bedroom Fully Detached Duplex With Bq,4 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Off Lekki Epe Expressway Ajah Lagos,190000000,4.0,5.0,,25 Oct 2025,11 Nov 2025
5 Bedroom Semi Detached Duplex,5 Bedroom Semi Detached Duplex/House FOR Sale,Ikate Lekki Lagos,900000000,5.0,6.0,,25 Oct 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex With Bq,4 Bedroom Semi Detached Duplex With Bq/House FOR Sale,Ado Ajah Lagos,150000000,4.0,5.0,,25 Oct 2025,11 Nov 2025
5 Bedroom Semi Detached Duplex,5 Bedroom Semi Detached Duplex/House FOR Sale,Ikate Lekki Lagos,900000000,5.0,6.0,,25 Oct 2025,11 Nov 2025
5 Bedroom Detached Duplex,5 Bedroom Detached Duplex/House FOR Sale,Off Lekki Epe Expressway Ajah Lagos,350000000,5.0,6.0,,27 Oct 2025,11 Nov 2025
5 Bedroom Detached Duplex,5 Bedroom Detached Duplex/House FOR Sale,Orchid Lekki Lagos,370000000,5.0,6.0,,26 Oct 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex,5 Bedroom Fully Detached Duplex/House FOR Sale,Orchid Lekki Lagos,420000000,5.0,6.0,,25 Oct 2025,11 Nov 2025
Commercial Land,Commercial Land/Commercial Property FOR Sale,Masha Surulere Lagos,350000000,,,,08 Aug 2025,11 Nov 2025
Prime Fenced Land,Prime Fenced Land/Land FOR Sale,Lekki Phase 1 Lekki Lagos,1200000/sqm,,,,17 Oct 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex With Bq,4 Bedroom Semi Detached Duplex With Bq/House FOR Sale,"Jabi Lake, Jabi Abuja",350000000,5.0,5.0,,25 Sep 2025,11 Nov 2025
4 Bedroom Detached Bungalow With Bq,4 Bedroom Detached Bungalow With Bq/House FOR Sale,"Gwarimpa Extension,by Charly Boys Side Gwarinpa Abuja",220000000,4.0,5.0,,25 Sep 2025,11 Nov 2025
2 Bedroom Apartment,2 Bedroom Apartment/Flat / Apartment FOR SALE,Lekki Phase 1 Lekki Lagos,220000000,2.0,,,15 Aug 2025,11 Nov 2025
2 Bedroom Terrace Duplex,2 Bedroom Terrace Duplex/House FOR Sale,Life Camp By Jamb Office Life Camp Abuja,250000000,2.0,3.0,,18 Oct 2025,11 Nov 2025
4 Bedroom Detached Duplex,4 Bedroom Detached Duplex/House FOR Sale,"Kubwa By Extension 3,fct Abuja Nigeria Kubwa Abuja",220000000,4.0,4.0,,18 Oct 2025,11 Nov 2025
