title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date
Newly Built 2 Bedroom Flat,Newly Built 2 Bedroom Flat/House FOR Sale,Freedom Way Lekki Phase 1 Lekki Lagos,190000000,2.0,2.0,,05 Nov 2025,11 Nov 2025
3 Units Of Terrace Duplexes Of 4 Bedrooms,3 Units Of Terrace Duplexes Of 4 Bedrooms/House FOR SALE,Alao Akala Gra Akobo Ibadan Oyo,250000000,4.0,4.0,,20 Aug 2025,11 Nov 2025
Newly Built 5 Bedroom Fully Detached House With Bq,Newly Built 5 Bedroom Fully Detached House With Bq/House FOR Sale,Ologolo Lekki Lagos,290000000,5.0,5.0,,08 Nov 2025,11 Nov 2025
5 Bedroom Flat,5 Bedroom Flat/House FOR Sale,Idado Lekki Lagos,550000000,5.0,5.0,,08 Nov 2025,11 Nov 2025
Newly Built 5 Bedroom Fully Detached House,Newly Built 5 Bedroom Fully Detached House/House FOR Sale,Royal Garden Estate Ajah Lagos,600000000,5.0,5.0,,08 Nov 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex With Bq,4 Bedroom Semi Detached Duplex With Bq/House FOR Sale,Idado Lekki Lagos,250000000,4.0,4.0,,07 Nov 2025,11 Nov 2025
Spacious 5 Bedroom Fully Detached House With Pool,Spacious 5 Bedroom Fully Detached House With Pool/House FOR Sale,"Royal Garden Estate, Ajah Lagos",750000000,5.0,5.0,,10 Nov 2025,11 Nov 2025
5 Bedroom Fully Detached House With Pool,5 Bedroom Fully Detached House With Pool/House FOR Sale,Chevron Lekki Lagos,1500000000,5.0,5.0,,06 Nov 2025,11 Nov 2025
Newly Built 3 Bedroom Flat,Newly Built 3 Bedroom Flat/House FOR Sale,Freedom Way Lekki Phase 1 Lekki Lagos,300000000,3.0,3.0,,05 Nov 2025,11 Nov 2025
5 Bedroom Flat,5 Bedroom Flat/House FOR Sale,Idado Lekki Lagos,260000000,5.0,5.0,,08 Nov 2025,11 Nov 2025
Newly Built 2 Bedroom Flat,Newly Built 2 Bedroom Flat/House FOR Sale,Spg Road Igbo Efon Lekki Lagos,95000000,2.0,2.0,,11 Nov 2025,11 Nov 2025
5 Bedroom Detached Duplex,5 Bedroom Detached Duplex/House FOR SALE,Old Ikoyi Ikoyi Lagos,$ 4000000,5.0,5.0,,08 Nov 2025,11 Nov 2025
3 Bedroom Flat,3 Bedroom Flat/Flat Apartment FOR Sale,Yabatech Gra Yaba Lagos,130000000,3.0,,,08 Sep 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR Sale,Gbagada Lagos,160000000,4.0,,,04 Sep 2025,11 Nov 2025
Luxurious Fully Furnished 4bedroom Flat,Luxurious Fully Furnished 4bedroom Flat/House FOR Sale,Soluyi Gbagada Lagos,140000000,4.0,4.0,,08 Sep 2025,11 Nov 2025
Luxurious Standard 3bedroom Flat,Luxurious Standard 3bedroom Flat/Flat Apartment FOR Sale,Opebi Ikeja Lagos,150000000,3.0,3.0,,15 Sep 2025,11 Nov 2025
4 Bedroom Duplex,4 Bedroom Duplex/Flat Apartment FOR Sale,Gbagada Lagos,190000000,3.0,,,12 Sep 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex With Bq,5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Magodo Gra Phase 1 Ojodu Lagos,500000000,5.0,,,04 Sep 2025,11 Nov 2025
4 Bedroom Terraced Duplex,4 Bedroom Terraced Duplex/House FOR Sale,Opebi Ikeja Lagos,390000000,4.0,,,15 Sep 2025,11 Nov 2025
3 Bedroom Flat,3 Bedroom Flat/Flat Apartment FOR Sale,Medina Estate Medina Gbagada Lagos,150000000,3.0,3.0,,16 Sep 2025,11 Nov 2025
3 Bedroom Duplex,3 Bedroom Duplex/House FOR Sale,Gbagada Lagos,100000000,3.0,,,04 Sep 2025,11 Nov 2025
3 Bedroom Flat,3 Bedroom Flat/House FOR Sale,Yabatech Gra Yaba Lagos,125000000,3.0,,,08 Sep 2025,11 Nov 2025
4 Bedroom Terraced Duplex,4 Bedroom Terraced Duplex/House FOR Sale,Opebi Ikeja Lagos,370000000,4.0,,,15 Sep 2025,11 Nov 2025
2 Units Of 4 Bedroom Semi Detached Duplex With Bq,2 Units Of 4 Bedroom Semi Detached Duplex With Bq/House FOR SALE,Ogudu Lagos,245000000,,,,13 May 2025,11 Nov 2025
Executive 4 Bedroom Duplex,Executive 4 Bedroom Duplex/House FOR Sale,Ikoyi Gerard Road Ikoyi Lagos,1200000000,4.0,4.0,,22 Oct 2025,11 Nov 2025
Newly Built 2 Bedroom Flat,Newly Built 2 Bedroom Flat/Flat Apartment FOR Sale,Ojuelegba Surulere Lagos,80000000,2.0,3.0,,09 Oct 2025,11 Nov 2025
5 Units Of 3 Bedroom Flats,5 Units Of 3 Bedroom Flats/House FOR Sale,Ikeja Lagos,150000000,3.0,,,16 Sep 2025,11 Nov 2025
5 Bedroom Detached Duplex,5 Bedroom Detached Duplex/House FOR Sale,Opebi Ikeja Lagos,500000000,5.0,,,15 Sep 2025,11 Nov 2025
4 Bedroom Terraced Duplex,4 Bedroom Terraced Duplex/House FOR Sale,Opebi Ikeja Lagos,450000000,4.0,,,15 Sep 2025,11 Nov 2025
3 Bedroom Flat,3 Bedroom Flat/House FOR Sale,Surulere Lagos,110000000,3.0,,,08 Sep 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR Sale,Gbagada Lagos,170000000,4.0,,,04 Sep 2025,11 Nov 2025
3 Bedroom Apartment,3 Bedroom Apartment/House FOR Sale,Akoka Yaba Lagos,130000000,3.0,,,08 Sep 2025,11 Nov 2025
