title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date,city,price_per_bedroom,price_category,month_posted,property_category
4 bedroom duplex,4 bedroom duplex/flat apartment for sale,gbagada lagos,190000000.0,3.0,,,2025-09-12,11 Nov 2025,Lagos,63333333.333333336,High,2025-09,house
5 bedroom fully detached duplex with bq,5 bedroom fully detached duplex with bq/house for sale,magodo gra phase 1 ojodu lagos,500000000.0,5.0,,,2025-09-04,11 Nov 2025,Lagos,100000000.0,High,2025-09,fully detached
4 bedroom terraced duplex,4 bedroom terraced duplex/house for sale,opebi ikeja lagos,390000000.0,4.0,,,2025-09-15,11 Nov 2025,Lagos,97500000.0,High,2025-09,terraced duplex
3 bedroom flat,3 bedroom flat/flat apartment for sale,medina estate medina gbagada lagos,150000000.0,3.0,3.0,,2025-09-16,11 Nov 2025,Lagos,50000000.0,High,2025-09,flat/apartment
3 bedroom duplex,3 bedroom duplex/house for sale,gbagada lagos,100000000.0,3.0,,,2025-09-04,11 Nov 2025,Lagos,33333333.333333332,High,2025-09,house
3 bedroom flat,3 bedroom flat/house for sale,yabatech gra yaba lagos,125000000.0,3.0,,,2025-09-08,11 Nov 2025,Lagos,41666666.666666664,High,2025-09,flat/apartment
2 units of 4 bedroom semi detached duplex with bq,2 units of 4 bedroom semi detached duplex with bq/house for sale,ogudu lagos,245000000.0,,,,2025-05-13,11 Nov 2025,Lagos,,High,2025-05,semi detached duplex
executive 4 bedroom duplex,executive 4 bedroom duplex/house for sale,ikoyi gerard road ikoyi lagos,1200000000.0,4.0,4.0,,2025-10-22,11 Nov 2025,Lagos,300000000.0,High,2025-10,house
newly built 2 bedroom flat,newly built 2 bedroom flat/flat apartment for sale,ojuelegba surulere lagos,80000000.0,2.0,3.0,,2025-10-09,11 Nov 2025,Lagos,40000000.0,High,2025-10,flat/apartment
5 units of 3 bedroom flats,5 units of 3 bedroom flats/house for sale,ikeja lagos,150000000.0,3.0,,,2025-09-16,11 Nov 2025,Lagos,50000000.0,High,2025-09,flat/apartment
5 bedroom detached duplex,5 bedroom detached duplex/house for sale,opebi ikeja lagos,500000000.0,5.0,,,2025-09-15,11 Nov 2025,Lagos,100000000.0,High,2025-09,detached duplex
3 bedroom flat,3 bedroom flat/house for sale,surulere lagos,110000000.0,3.0,,,2025-09-08,11 Nov 2025,Lagos,36666666.666666664,High,2025-09,flat/apartment
3 bedroom apartment,3 bedroom apartment/house for sale,akoka yaba lagos,130000000.0,3.0,,,2025-09-08,11 Nov 2025,Lagos,43333333.333333336,High,2025-09,flat/apartment
nicely built 4 bedroom detached duplex,nicely built 4 bedroom detached duplex/house for sale,victory villa estate abijo ajah lagos,120000000.0,4.0,4.0,,2025-09-23,11 Nov 2025,Lagos,30000000.0,High,2025-09,detached duplex
